Paese;Zip/Postal Code From;Zip/Postal Code To;Weight From;Weight To;Prezzo Spedizione;
IT;90010;90010;30.100;40.000;50.0000;
IT;90010;90010;40.100;60.000;55.0000;
IT;90010;90010;60.100;80.000;63.0000;
IT;90010;90010;80.100;100.000;71.0000;
IT;90010;90010;100.100;500000.00;350.0000;
IT;90011;90049;0.0000;0.0090;0.0000;
IT;90011;90049;0.0100;0.3000;13.5000;
IT;90011;90049;0.3100;5.000;18.5000;
IT;90011;90049;5.100;10.000;22.5000;
IT;90011;90049;10.100;20.000;28.0000;
IT;90011;90049;20.100;30.000;33.5000;
IT;90011;90049;30.100;40.000;39.0000;
IT;90011;90049;40.100;60.000;44.0000;
IT;90011;90049;60.100;80.000;52.0000;
IT;90011;90049;80.100;100.000;59.0000;
IT;90011;90049;100.100;500000.00;250.0000;
IT;90100;90100;0.0000;0.0090;0.0000;
IT;90100;90100;0.0100;0.3000;13.5000;
IT;90100;90100;0.3100;5.000;18.5000;
IT;90100;90100;5.100;10.000;22.5000;
IT;90100;90100;10.100;20.000;28.0000;
